school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1.y,G2.y,G3.y
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,mother,2,2,0,yes,no,no,no,yes,no,4,3,4,1,1,3,4,A,C,C,0,11,11
MS,M,19,R,GT3,T,1,1,other,services,other,yes,no,mother,2,1,1,no,no,no,no,yes,no,4,3,2,1,3,5,0,A,B,A,5,8,0
GP,M,15,R,GT3,T,2,3,at_home,services,course,yes,no,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,0,B,B,B,7,8,8
GP,M,18,U,GT3,T,2,1,services,services,other,no,yes,mother,1,1,2,no,no,no,no,no,no,3,2,5,2,5,5,4,B,B,B,7,8,6
GP,M,18,U,GT3,T,3,2,services,other,course,yes,yes,mother,2,1,0,no,no,no,no,no,no,4,4,5,2,4,5,8,B,B,B,7,8,7
GP,M,22,U,GT3,T,3,1,services,services,other,no,yes,mother,1,1,3,no,no,no,no,no,yes,5,4,5,5,5,1,12,B,B,A,7,8,5
MS,F,17,R,GT3,T,1,2,other,other,course,yes,yes,mother,1,1,0,no,no,no,yes,yes,no,3,5,5,1,3,1,4,B,B,B,7,8,9
MS,F,18,R,GT3,T,4,4,other,teacher,other,no,yes,father,3,2,0,no,yes,no,no,yes,yes,3,2,2,4,2,5,0,B,A,A,7,5,0
MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,yes,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,4,3,2,2,5,4,B,B,B,7,9,10
MS,F,18,U,GT3,T,1,1,other,other,course,yes,no,mother,3,2,2,no,no,no,yes,yes,yes,3,4,4,2,2,5,3,B,B,B,7,8,7
MS,M,18,R,GT3,T,2,1,other,other,other,no,yes,mother,2,1,0,no,no,no,yes,yes,yes,4,4,3,1,3,5,0,B,B,A,7,7,0
MS,M,18,R,GT3,T,4,2,other,other,home,yes,no,father,2,1,1,no,no,yes,no,yes,no,5,4,3,4,3,3,0,B,B,A,7,7,0
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,12,B,B,B,8,10,10
GP,F,17,U,GT3,T,3,4,at_home,services,home,yes,yes,mother,1,3,1,no,yes,yes,no,yes,yes,4,4,3,3,4,5,14,B,B,B,8,9,8
GP,F,18,R,GT3,T,2,1,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,no,no,yes,4,3,5,1,2,3,12,B,B,B,8,9,10
GP,F,18,R,GT3,T,3,1,other,other,reputation,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,5,3,3,1,1,4,4,B,B,B,8,8,8
GP,M,17,R,LE3,T,1,1,other,services,course,yes,no,mother,4,2,0,no,no,no,yes,no,yes,5,3,5,1,5,5,0,B,B,B,8,8,8
GP,M,17,R,LE3,T,2,1,at_home,other,course,yes,yes,mother,2,1,1,no,no,yes,yes,no,yes,3,3,2,2,2,5,8,B,B,B,8,8,9
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,B,B,B,8,8,7
GP,M,18,U,GT3,T,2,2,other,services,reputation,yes,yes,father,1,2,0,no,no,no,no,no,no,5,5,4,3,5,2,16,B,B,B,8,7,8
MS,F,17,R,GT3,T,1,1,other,services,reputation,yes,yes,mother,3,1,1,no,yes,no,no,yes,yes,5,2,1,1,2,1,0,B,B,B,8,8,9
